order_id,customer_id,product_id,category,price,cost,quantity,discount,delivery_days,order_date,return_date,is_returned,return_reason,revenue,nominal_profit,profit_after_return,location,customer_age,customer_tenure_months
O77,C354,P115,Electronics,31.85,22.06,1,0.19,7,2023-12-27,2023-12-30,1,Size Issue,25.8,3.74,-21.77,West,48,33
O78,C25,P196,Home,56.01,39.98,1,0.03,2,2024-01-20,,0,,54.33,14.35,14.35,South,22,18
O79,C363,P80,Electronics,15.24,8.13,1,0.03,8,2024-08-14,,0,,14.78,6.65,6.65,West,35,39
O80,C252,P33,Beauty,211.79,123.4,1,0.08,9,2023-08-22,,0,,194.85,71.45,71.45,North,59,59
O81,C270,P133,Toys,215.58,153.35,2,0.25,2,2023-11-02,,0,,323.37,16.67,16.67,East,57,25
O82,C169,P16,Beauty,193.96,135.85,1,0.22,3,2023-02-16,,0,,151.29,15.44,15.44,East,49,4
O83,C440,P185,Apparel,79.54,51.76,1,0.1,6,2023-12-04,,0,,71.59,19.83,19.83,East,52,37
O84,C326,P162,Electronics,88.75,53.82,1,0.23,9,2024-05-10,,0,,68.34,14.52,14.52,East,57,33
O85,C132,P31,Home,53.71,44.48,1,0.29,3,2024-01-14,,0,,38.13,-6.35,-6.35,West,55,18
O86,C62,P141,Electronics,192.09,166.67,1,0.0,9,2023-01-02,,0,,192.09,25.42,25.42,South,69,24
O87,C343,P23,Beauty,117.2,88.43,2,0.02,6,2023-12-21,,0,,229.71,52.85,52.85,West,61,22
O88,C372,P38,Home,244.76,182.91,1,0.23,7,2023-02-18,,0,,188.47,5.56,5.56,West,49,34
O89,C185,P87,Apparel,167.34,91.26,1,0.11,9,2024-04-09,,0,,148.93,57.67,57.67,South,27,56
O90,C315,P183,Home,275.41,190.62,1,0.21,5,2024-02-18,,0,,217.57,26.95,26.95,West,51,18
O91,C50,P122,Apparel,254.82,168.71,1,0.16,9,2023-01-23,,0,,214.05,45.34,45.34,South,68,25
O92,C387,P164,Toys,142.61,86.13,1,0.09,7,2023-07-26,,0,,129.78,43.65,43.65,West,65,32
O93,C349,P139,Home,33.66,17.41,1,0.28,2,2023-06-14,,0,,24.24,6.83,6.83,North,29,32
O94,C496,P188,Apparel,281.04,233.73,1,0.03,1,2024-08-21,,0,,272.61,38.88,38.88,North,68,15
O95,C178,P193,Toys,221.71,112.07,1,0.27,1,2023-07-28,,0,,161.85,49.78,49.78,South,54,22
O96,C343,P48,Beauty,167.02,146.09,1,0.06,2,2023-10-31,,0,,157.0,10.91,10.91,West,61,22
O97,C99,P31,Home,53.71,44.48,1,0.1,2,2023-08-23,,0,,48.34,3.86,3.86,East,39,40
O98,C300,P56,Sports,289.97,229.85,1,0.23,6,2024-03-09,,0,,223.28,-6.57,-6.57,East,64,38
O99,C409,P110,Home,286.39,170.31,1,0.04,4,2023-10-14,,0,,274.93,104.62,104.62,West,20,42
O100,C342,P66,Beauty,256.77,167.18,1,0.3,5,2024-04-25,,0,,179.74,12.56,12.56,North,54,54
O101,C258,P82,Toys,61.86,45.84,1,0.19,3,2024-06-19,,0,,50.11,4.27,4.27,South,54,35
O102,C100,P50,Beauty,76.28,50.89,1,0.27,7,2024-06-27,,0,,55.68,4.79,4.79,West,45,28
O103,C30,P44,Home,252.94,152.85,1,0.02,1,2023-10-06,,0,,247.88,95.03,95.03,East,45,35
O104,C65,P118,Beauty,87.86,52.67,1,0.03,3,2024-03-17,,0,,85.22,32.55,32.55,East,28,8
O105,C181,P3,Home,127.11,72.47,1,0.22,3,2023-06-01,2023-06-15,1,Changed Mind,99.15,26.68,-69.91,South,48,54
O106,C335,P27,Beauty,295.19,162.77,1,0.13,1,2024-04-23,,0,,256.82,94.05,94.05,West,61,17
O107,C149,P7,Home,211.93,135.32,1,0.12,5,2023-07-18,,0,,186.5,51.18,51.18,East,49,31
O108,C306,P174,Toys,125.66,83.77,1,0.18,4,2024-05-06,,0,,103.04,19.27,19.27,West,64,53
O109,C347,P192,Apparel,136.35,75.48,2,0.09,4,2024-03-24,,0,,248.16,97.2,97.2,East,66,10
O110,C295,P182,Apparel,26.88,21.8,2,0.11,4,2024-06-13,,0,,47.85,4.25,4.25,South,66,17
O111,C485,P28,Apparel,125.66,103.6,1,0.1,9,2023-07-28,,0,,113.09,9.49,9.49,North,41,42
O112,C358,P34,Beauty,258.92,157.83,1,0.01,9,2023-10-06,,0,,256.33,98.5,98.5,South,54,33
O113,C50,P30,Home,241.52,181.23,2,0.06,3,2023-05-18,,0,,454.06,91.6,91.6,South,68,25
O114,C114,P9,Home,52.95,40.24,3,0.13,3,2023-08-26,,0,,138.2,17.48,17.48,West,66,38
O115,C59,P16,Beauty,193.96,135.85,1,0.12,9,2023-12-14,,0,,170.68,34.83,34.83,South,43,11
O116,C186,P137,Electronics,84.3,60.9,1,0.12,3,2023-09-29,,0,,74.18,13.28,13.28,South,24,59
O117,C91,P191,Home,200.56,103.23,1,0.08,4,2023-09-22,,0,,184.52,81.29,81.29,North,38,27
O118,C384,P46,Apparel,223.21,173.47,1,0.17,4,2023-08-21,,0,,185.26,11.79,11.79,North,24,9
O119,C64,P144,Sports,125.07,66.31,1,0.13,8,2023-02-25,,0,,108.81,42.5,42.5,East,43,38
O120,C249,P158,Home,97.95,55.62,1,0.2,2,2023-04-23,2023-05-04,1,Not as described,78.36,22.74,-57.55,East,23,57
O121,C108,P44,Home,252.94,152.85,1,0.12,1,2023-07-28,,0,,222.59,69.74,69.74,East,40,45
O122,C253,P142,Electronics,66.34,39.88,1,0.05,1,2023-01-05,,0,,63.02,23.14,23.14,South,53,1
O123,C301,P126,Beauty,204.63,169.66,1,0.3,9,2023-03-30,,0,,143.24,-26.42,-26.42,East,41,48
O124,C376,P39,Beauty,111.11,70.51,2,0.06,8,2023-10-07,,0,,208.89,67.87,67.87,West,34,49
O125,C203,P62,Sports,255.53,152.15,1,0.21,3,2023-03-18,,0,,201.87,49.72,49.72,East,19,47
O126,C49,P26,Sports,146.39,106.77,1,0.08,1,2024-03-31,,0,,134.68,27.91,27.91,South,18,3
O127,C174,P143,Beauty,30.57,23.79,2,0.28,6,2023-06-24,2023-07-02,1,Size Issue,44.02,-3.56,-27.23,East,60,4
O128,C247,P155,Beauty,259.52,170.71,1,0.28,4,2023-06-29,,0,,186.85,16.14,16.14,West,54,6
O129,C491,P8,Home,216.56,148.53,2,0.09,9,2023-05-20,2023-06-02,1,Size Issue,394.14,97.08,-252.61,West,69,3
O130,C204,P15,Electronics,110.07,96.13,2,0.01,1,2023-02-06,,0,,217.94,25.68,25.68,East,20,15
O131,C284,P199,Home,36.62,26.88,1,0.07,3,2023-01-14,,0,,34.06,7.18,7.18,South,18,53
O132,C215,P10,Sports,299.34,155.42,1,0.17,8,2024-03-23,,0,,248.45,93.03,93.03,South,52,4
O133,C228,P105,Apparel,298.42,210.48,1,0.16,4,2023-09-04,,0,,250.67,40.19,40.19,North,68,2
O134,C312,P178,Apparel,63.46,53.98,1,0.05,4,2023-12-06,,0,,60.29,6.31,6.31,East,34,17
O135,C109,P176,Electronics,225.77,195.89,1,0.19,3,2023-08-30,2023-09-02,1,Damaged,182.87,-13.02,-91.93,East,68,25
O136,C331,P129,Home,95.63,56.9,1,0.25,7,2024-01-09,,0,,71.72,14.82,14.82,East,20,22
O137,C291,P160,Beauty,104.73,68.63,1,0.05,3,2024-03-20,,0,,99.49,30.86,30.86,South,28,25
O138,C241,P170,Beauty,48.5,29.51,2,0.25,7,2023-04-02,,0,,72.75,13.73,13.73,South,21,21
O139,C59,P175,Home,135.72,99.41,2,0.02,3,2023-11-20,,0,,266.01,67.19,67.19,South,43,11
O140,C377,P80,Electronics,15.24,8.13,2,0.14,2,2024-04-08,2024-04-21,1,Damaged,26.21,9.95,-25.08,West,40,40
O141,C162,P36,Toys,73.87,48.08,1,0.27,7,2024-01-25,,0,,53.93,5.85,5.85,North,68,34
O142,C23,P182,Apparel,26.88,21.8,1,0.19,1,2024-04-30,,0,,21.77,-0.03,-0.03,East,65,35
O143,C411,P41,Apparel,282.75,184.96,1,0.27,7,2023-12-07,,0,,206.41,21.45,21.45,North,60,11
O144,C38,P121,Electronics,124.46,74.86,3,0.01,7,2024-05-22,,0,,369.65,145.07,145.07,South,39,14
O145,C111,P74,Beauty,92.34,77.46,1,0.17,1,2023-02-14,,0,,76.64,-0.82,-0.82,West,49,42
O146,C59,P179,Toys,33.45,24.11,1,0.11,2,2024-01-01,,0,,29.77,5.66,5.66,South,43,11
O147,C242,P168,Beauty,212.86,141.44,1,0.1,8,2023-08-26,2023-08-30,1,Damaged,191.57,50.13,-127.85,North,43,47
O148,C90,P20,Beauty,170.34,149.48,2,0.27,2,2023-02-28,,0,,248.7,-50.26,-50.26,West,67,40
O149,C358,P162,Electronics,88.75,53.82,2,0.19,1,2023-02-18,,0,,143.78,36.14,36.14,South,54,33
O150,C302,P174,Toys,125.66,83.77,1,0.29,7,2023-10-19,,0,,89.22,5.45,5.45,West,39,57
O151,C126,P78,Electronics,298.39,206.79,1,0.21,2,2023-06-14,,0,,235.73,28.94,28.94,South,67,32
O152,C134,P136,Sports,131.74,117.4,1,0.19,5,2023-07-28,,0,,106.71,-10.69,-10.69,North,21,2
O153,C297,P129,Home,95.63,56.9,1,0.17,4,2023-06-09,,0,,79.37,22.47,22.47,South,57,20
O154,C448,P185,Apparel,79.54,51.76,1,0.25,1,2023-06-20,2023-06-26,1,Not as described,59.66,7.9,-40.78,West,33,51
O155,C272,P43,Sports,160.15,101.9,2,0.22,5,2024-04-21,,0,,249.83,46.03,46.03,East,29,29
O156,C286,P181,Apparel,209.66,139.32,2,0.19,2,2023-12-14,,0,,339.65,61.01,61.01,West,53,58
O157,C23,P61,Beauty,213.1,154.44,1,0.17,6,2023-03-14,,0,,176.87,22.43,22.43,East,65,35
O158,C82,P32,Electronics,157.38,119.7,1,0.06,3,2024-05-23,,0,,147.94,28.24,28.24,West,41,32
O159,C232,P180,Apparel,134.21,75.95,2,0.3,6,2024-02-01,2024-02-14,1,Changed Mind,187.89,35.99,-118.94,East,57,22
O160,C479,P55,Electronics,298.91,218.31,2,0.1,9,2023-04-12,,0,,538.04,101.42,101.42,West,54,2
O161,C92,P8,Home,216.56,148.53,1,0.17,3,2024-07-26,2024-07-29,1,Size Issue,179.74,31.21,-112.48,South,66,13
O162,C398,P44,Home,252.94,152.85,1,0.22,5,2024-07-28,,0,,197.29,44.44,44.44,West,35,7
O163,C444,P183,Home,275.41,190.62,1,0.28,8,2023-11-18,,0,,198.3,7.68,7.68,West,46,59
O164,C293,P104,Apparel,22.65,12.65,1,0.1,3,2024-04-13,,0,,20.38,7.73,7.73,South,28,14
O165,C280,P145,Home,24.72,14.0,1,0.23,8,2024-03-07,,0,,19.03,5.03,5.03,West,45,7
O166,C217,P103,Apparel,232.88,199.52,1,0.16,4,2023-04-22,,0,,195.62,-3.9,-3.9,South,39,35
O167,C218,P186,Beauty,37.22,29.77,1,0.23,5,2024-03-03,,0,,28.66,-1.11,-1.11,West,61,13
O168,C82,P63,Home,258.33,199.41,1,0.23,7,2024-01-06,,0,,198.91,-0.5,-0.5,West,41,32
O169,C432,P191,Home,200.56,103.23,2,0.03,8,2023-02-07,,0,,389.09,182.63,182.63,South,59,32
O170,C18,P64,Toys,127.31,101.33,1,0.14,5,2023-02-19,,0,,109.49,8.16,8.16,West,57,20
O171,C13,P68,Beauty,237.75,166.1,2,0.26,4,2023-01-30,2023-02-09,1,Not as described,351.87,19.67,-192.77,West,57,47
O172,C207,P18,Toys,163.97,126.84,1,0.23,8,2024-08-16,,0,,126.26,-0.58,-0.58,East,37,11
O173,C191,P91,Electronics,181.06,94.58,1,0.08,6,2023-01-17,,0,,166.58,72.0,72.0,East,65,29
O174,C3,P191,Home,200.56,103.23,1,0.16,1,2023-03-30,,0,,168.47,65.24,65.24,East,23,26
O175,C452,P89,Sports,194.54,173.08,1,0.24,8,2024-03-07,,0,,147.85,-25.23,-25.23,North,47,15
O176,C327,P185,Apparel,79.54,51.76,1,0.13,3,2023-11-19,,0,,69.2,17.44,17.44,East,59,38
O177,C245,P97,Beauty,197.08,164.52,1,0.15,6,2023-11-12,2023-11-16,1,Damaged,167.52,3.0,-92.26,West,51,59
O178,C184,P83,Beauty,116.28,83.89,1,0.17,6,2024-06-03,,0,,96.51,12.62,12.62,North,24,26
O179,C120,P82,Toys,61.86,45.84,1,0.25,3,2023-12-24,,0,,46.4,0.55,0.55,East,36,57
O180,C277,P200,Toys,37.31,29.49,1,0.29,2,2023-03-27,2023-03-31,1,Size Issue,26.49,-3.0,-18.75,East,34,46
O181,C176,P163,Sports,289.92,186.75,1,0.14,2,2023-08-13,,0,,249.33,62.58,62.58,South,21,17
O182,C314,P37,Toys,216.23,111.48,2,0.22,5,2023-01-31,,0,,337.32,114.36,114.36,North,60,21
O183,C307,P151,Sports,105.16,83.59,1,0.19,4,2023-07-16,,0,,85.18,1.59,1.59,North,37,2
O184,C52,P126,Beauty,204.63,169.66,1,0.21,2,2023-06-03,,0,,161.66,-8.0,-8.0,East,32,12
O185,C229,P27,Beauty,295.19,162.77,2,0.04,6,2024-05-18,,0,,566.76,241.22,241.22,South,34,47
O186,C276,P56,Sports,289.97,229.85,1,0.09,7,2023-05-29,,0,,263.87,34.02,34.02,East,62,27
O187,C343,P32,Electronics,157.38,119.7,1,0.02,8,2023-09-27,2023-10-03,1,Damaged,154.23,34.53,-101.38,West,61,22
O188,C499,P86,Beauty,99.34,80.72,1,0.0,8,2023-04-06,,0,,99.34,18.62,18.62,South,27,26
O189,C329,P4,Sports,28.82,14.61,1,0.21,5,2024-06-10,,0,,22.77,8.16,8.16,North,56,8
O190,C274,P156,Sports,82.57,44.81,1,0.2,7,2023-06-26,2023-07-06,1,Damaged,66.06,21.25,-50.65,East,24,8
O191,C51,P85,Toys,219.07,192.45,1,0.18,7,2024-01-27,,0,,179.64,-12.81,-12.81,East,57,34
O192,C398,P183,Home,275.41,190.62,1,0.13,4,2023-02-04,,0,,239.61,48.99,48.99,West,35,7
O193,C347,P124,Sports,30.42,24.23,1,0.05,5,2023-10-16,,0,,28.9,4.67,4.67,East,66,10
O194,C442,P38,Home,244.76,182.91,1,0.18,8,2024-06-19,2024-06-29,1,Not as described,200.7,17.79,-116.25,North,63,56
O195,C419,P146,Apparel,267.12,156.73,1,0.25,2,2023-02-08,2023-02-15,1,Size Issue,200.34,43.61,-128.98,North,21,45
O196,C363,P96,Beauty,111.52,86.45,1,0.03,7,2023-11-10,2023-11-15,1,Damaged,108.17,21.72,-71.95,West,35,39
O197,C64,P175,Home,135.72,99.41,1,0.07,2,2024-05-19,2024-05-31,1,Not as described,126.22,26.81,-83.51,East,43,38
O198,C90,P2,Sports,171.85,153.26,1,0.21,5,2024-03-09,,0,,135.76,-17.5,-17.5,West,67,40
O199,C12,P47,Electronics,70.63,45.16,1,0.17,2,2023-02-22,,0,,58.62,13.46,13.46,North,30,54
O200,C104,P66,Beauty,256.77,167.18,2,0.12,1,2023-03-23,,0,,451.92,117.56,117.56,North,18,48
O201,C237,P58,Beauty,265.96,159.58,3,0.21,5,2024-04-21,,0,,630.33,151.59,151.59,West,26,44
O202,C455,P107,Home,91.07,66.71,1,0.22,1,2024-04-13,,0,,71.03,4.32,4.32,East,37,12
O203,C325,P87,Apparel,167.34,91.26,1,0.19,2,2023-07-31,,0,,135.55,44.29,44.29,South,60,25
O204,C271,P115,Electronics,31.85,22.06,1,0.21,2,2023-10-28,,0,,25.16,3.1,3.1,West,51,17
O205,C169,P191,Home,200.56,103.23,1,0.2,7,2023-06-03,,0,,160.45,57.22,57.22,East,49,4
O206,C210,P67,Electronics,281.33,200.79,3,0.05,9,2024-05-16,,0,,801.79,199.42,199.42,South,55,26
O207,C200,P153,Home,294.73,260.39,2,0.17,8,2024-04-24,,0,,489.25,-31.53,-31.53,South,37,11
O208,C404,P6,Electronics,81.59,67.13,1,0.24,3,2024-08-20,,0,,62.01,-5.12,-5.12,West,41,58
O209,C297,P118,Beauty,87.86,52.67,1,0.25,4,2024-05-22,,0,,65.9,13.22,13.22,South,57,20
O210,C411,P53,Electronics,159.82,106.98,1,0.16,1,2024-05-06,2024-05-12,1,Size Issue,134.25,27.27,-87.76,North,60,11
O211,C188,P81,Electronics,153.23,82.24,1,0.05,3,2023-10-30,,0,,145.57,63.33,63.33,West,40,50
O212,C18,P142,Electronics,66.34,39.88,1,0.1,9,2023-06-05,,0,,59.71,19.83,19.83,West,57,20
O213,C217,P70,Toys,178.4,110.44,1,0.14,7,2023-10-01,2023-10-13,1,Not as described,153.42,42.98,-105.2,South,39,35
O214,C104,P184,Toys,138.28,123.64,2,0.19,7,2023-03-14,,0,,224.01,-23.27,-23.27,North,18,48
O215,C131,P159,Toys,165.75,125.76,1,0.2,4,2024-06-04,,0,,132.6,6.84,6.84,South,47,31
O216,C51,P105,Apparel,298.42,210.48,1,0.16,6,2023-07-11,,0,,250.67,40.19,40.19,East,57,34
O217,C175,P26,Sports,146.39,106.77,1,0.08,4,2023-09-16,,0,,134.68,27.91,27.91,West,33,27
O218,C46,P137,Electronics,84.3,60.9,1,0.13,6,2023-02-13,,0,,73.34,12.44,12.44,East,63,28
O219,C33,P39,Beauty,111.11,70.51,1,0.13,2,2023-12-27,,0,,96.67,26.16,26.16,North,68,56
O220,C199,P1,Beauty,73.44,45.87,1,0.28,5,2024-02-24,,0,,52.88,7.01,7.01,South,22,29
O221,C31,P156,Sports,82.57,44.81,1,0.21,6,2023-05-12,2023-05-25,1,Size Issue,65.23,20.42,-49.83,South,48,38
O222,C276,P30,Home,241.52,181.23,1,0.2,3,2024-05-30,,0,,193.22,11.99,11.99,East,62,27
O223,C149,P145,Home,24.72,14.0,1,0.13,4,2023-07-17,,0,,21.51,7.51,7.51,East,49,31
O224,C201,P44,Home,252.94,152.85,2,0.09,8,2023-09-19,,0,,460.35,154.65,154.65,South,28,33
O225,C249,P53,Electronics,159.82,106.98,1,0.16,1,2023-07-27,2023-08-03,1,Size Issue,134.25,27.27,-87.76,East,23,57
O226,C89,P10,Sports,299.34,155.42,1,0.08,2,2023-12-21,,0,,275.39,119.97,119.97,West,45,34
O227,C413,P83,Beauty,116.28,83.89,1,0.01,8,2023-09-14,2023-09-17,1,Damaged,115.12,31.23,-80.17,North,43,54
O228,C195,P92,Sports,293.88,233.58,1,0.03,8,2023-04-18,,0,,285.06,51.48,51.48,East,35,35
